workerid,condition,browser,gender,age,storyID,order,whichCharFirst,trialType,distance1,distance2,attentionCheck1,attentionCheck2,attentionCheckWL1,attentionCheckWL2,reactionTime,happy1,sad1,relief1,regret1,content1,disapp1,happy2,sad2,relief2,regret2,content2,disapp2,forcedWorse
111,1,Safari,F,32,7,0,2,1,5,1,5,1,L,L,90270,2,9,3,4,1,9,1,9,3,7,1,9,3
112,1,Chrome,M,22,7,0,1,1,1,5,11,5,L,L,146362,3,6,7,4,4,7,3,4,4,4,6,8,2
113,1,Chrome,M,24,7,0,1,1,1,5,1,5,L,L,88277,1,8,1,9,1,8,1,8,2,9,1,8,3
114,1,Chrome,M,35,7,0,2,1,5,1,5,1,L,L,46384,5,4,5,6,5,6,6,6,7,6,6,7,3
115,1,Chrome,F,32,7,0,1,1,1,5,1,5,L,L,81660,1,9,1,9,1,9,1,9,1,9,1,9,3
116,1,Safari,F,39,7,0,2,1,5,1,5,1,L,L,204036,2,8,8,7,2,8,1,8,8,9,1,8,2
117,1,Chrome,F,27,7,0,1,1,1,5,1,5,L,L,64924,2,8,1,8,2,8,1,9,1,9,1,9,2
118,1,Chrome,F,36,7,0,2,1,5,1,5,1,L,L,101510,1,1,1,7,1,9,1,1,3,5,4,5,1
119,1,Chrome,M,35,7,0,1,1,1,5,1,5,L,L,88478,1,8,1,3,2,9,1,8,1,3,1,9,3
120,1,Chrome,M,48,7,0,2,1,5,1,5,1,L,L,250165,1,5,1,5,1,8,2,6,1,6,1,2,3
121,1,Chrome,M,42,7,0,1,1,1,5,1,5,L,L,146215,3,8,3,7,3,9,3,8,3,8,3,9,1
122,1,Chrome,M,40,7,0,1,1,1,5,1,5,L,L,115978,2,8,2,8,3,9,2,9,1,6,1,9,3
123,1,Firefox,M,26,7,0,2,1,5,1,5,1,L,L,68879,4,6,5,5,8,5,3,6,4,4,8,4,3
124,1,Chrome,M,25,7,0,1,1,1,5,1,5,L,L,150898,2,8,4,3,2,9,1,7,3,4,2,9,2
125,1,Chrome,M,21,7,0,2,1,5,1,5,1,L,L,57260,1,9,1,9,1,9,1,9,1,9,1,9,3
126,1,Mozilla,F,27,7,0,1,1,1,5,1,5,L,L,68100,1,9,1,8,1,9,1,9,1,8,1,9,3
127,1,Chrome,F,26,7,0,2,1,5,1,5,1,L,L,91343,1,1,1,8,3,9,4,5,5,4,4,4,3
128,1,Chrome,M,20,7,0,1,1,1,5,1,5,L,L,123782,2,8,2,8,2,8,2,9,1,9,1,9,2
129,1,Firefox,M,28,7,0,2,1,5,1,5,1,L,L,86672,5,5,5,5,5,5,5,5,5,5,5,5,3
130,1,Firefox,M,32,7,0,1,1,1,5,1,5,L,L,106852,1,6,1,3,1,9,1,8,1,7,1,8,2
131,1,Chrome,M,20,7,0,2,1,5,1,5,1,L,L,70634,2,7,2,7,2,7,2,8,2,8,2,8,3
132,1,Chrome,M,36,7,0,2,1,5,1,5,1,L,L,97658,3,4,2,3,5,8,3,3,3,3,3,8,3
133,1,Chrome,M,32,7,0,2,1,5,1,5,1,L,L,89403,1,7,1,1,1,9,1,5,1,6,1,8,3
134,1,Firefox,M,35,7,0,2,1,5,1,5,1,L,L,87724,1,6,3,8,3,9,3,8,1,9,2,9,3
135,1,Chrome,M,32,7,0,1,1,1,5,1,5,L,L,93085,2,2,2,8,2,8,2,8,2,8,2,8,3
136,1,Chrome,M,31,7,0,1,1,1,5,1,5,L,L,47908,1,4,1,1,1,7,1,5,1,1,1,8,3
137,1,Chrome,M,32,7,0,1,1,1,5,1,5,L,L,95494,1,9,1,6,1,9,1,9,3,7,1,9,3
138,1,Chrome,M,38,7,0,2,1,5,1,5,1,L,L,101549,3,7,1,8,2,9,2,6,1,9,1,9,1
139,1,Chrome,M,28,7,0,2,1,5,1,5,1,L,L,92067,2,7,2,7,2,6,2,7,2,7,3,7,3
